session_id,lookups,hits,misses,shared_hits,p99_max,hit_rate,shared_hit_rate
s012,29,12,17,8,5325.543016999745,0.41379310344827586,0.27586206896551724
s002,21,15,6,7,833.4369300000617,0.7142857142857143,0.3333333333333333
s008,29,29,0,0,748.3595599996988,1.0,0.0
s006,20,20,0,0,733.3060840001053,1.0,0.0
s013,79,57,22,23,958.7609519999205,0.7215189873417721,0.2911392405063291
s010,21,21,0,0,774.4145189999472,1.0,0.0
s000,41,20,21,4,1237.7599789997475,0.4878048780487805,0.0975609756097561
s011,24,16,8,7,960.4402670001946,0.6666666666666666,0.2916666666666667
s003,31,7,24,2,1151.4160350002385,0.22580645161290322,0.06451612903225806
s005,73,45,28,12,1036.8953899996995,0.6164383561643836,0.1643835616438356
s004,78,33,45,9,1045.8270899998752,0.4230769230769231,0.11538461538461539
s014,27,21,6,15,823.740872000144,0.7777777777777778,0.5555555555555556
s001,57,57,0,0,761.9656509996275,1.0,0.0
s009,29,29,0,0,732.7127809999183,1.0,0.0
s007,23,23,0,0,694.0563899997869,1.0,0.0
