session_id,lookups,hits,misses,shared_hits,p99_max,hit_rate,shared_hit_rate
s012,29,6,23,3,56899.164357000016,0.20689655172413793,0.10344827586206896
s002,21,13,8,8,11615.63752799998,0.6190476190476191,0.38095238095238093
s008,29,25,4,0,1022.5965570000426,0.8620689655172413,0.0
s006,20,17,3,0,948.3829369999057,0.85,0.0
s010,21,13,8,0,1063.398480999922,0.6190476190476191,0.0
s005,73,37,36,14,1126.7283419999785,0.5068493150684932,0.1917808219178082
s003,31,16,15,11,1004.1876239999965,0.5161290322580645,0.3548387096774194
s007,23,15,8,0,902.1694669997942,0.6521739130434783,0.0
s004,78,35,43,21,1125.993754000092,0.44871794871794873,0.2692307692307692
s013,79,34,45,17,1062.5826709999728,0.43037974683544306,0.21518987341772153
s009,29,21,8,0,992.4134129998947,0.7241379310344828,0.0
s014,27,23,4,17,991.4227480001045,0.8518518518518519,0.6296296296296297
s000,41,17,24,8,990.5344499998137,0.4146341463414634,0.1951219512195122
s001,57,46,11,0,933.6894640000537,0.8070175438596491,0.0
s011,24,5,19,3,1016.3086079999175,0.20833333333333334,0.125
