session_id,lookups,hits,misses,shared_hits,p99_max,hit_rate,shared_hit_rate
s012,29,12,17,9,27993.500524999945,0.41379310344827586,0.3103448275862069
s002,21,15,6,8,10693.14074800002,0.7142857142857143,0.38095238095238093
s008,29,25,4,0,916.4416340000798,0.8620689655172413,0.0
s006,20,16,4,0,1138.647565000042,0.8,0.0
s010,21,18,3,0,972.5625419999915,0.8571428571428571,0.0
s005,73,45,28,19,1121.266619000039,0.6164383561643836,0.2602739726027397
s003,31,17,14,11,1137.22726900005,0.5483870967741935,0.3548387096774194
s007,23,20,3,0,837.5723219999145,0.8695652173913043,0.0
s004,78,39,39,24,981.6469400000187,0.5,0.3076923076923077
s013,79,45,34,25,971.8216499999244,0.569620253164557,0.31645569620253167
s009,29,24,5,0,877.0798499999728,0.8275862068965517,0.0
s014,27,20,7,15,899.7472019999577,0.7407407407407407,0.5555555555555556
s000,41,18,23,7,904.8196129999724,0.43902439024390244,0.17073170731707318
s001,57,46,11,0,885.0122950000241,0.8070175438596491,0.0
s011,24,15,9,8,918.6974020000207,0.625,0.3333333333333333
