session_id,lookups,hits,misses,shared_hits,p99_max,hit_rate,shared_hit_rate
s012,29,9,20,7,9680.779021000035,0.3103448275862069,0.2413793103448276
s002,21,10,11,6,4675.352492999991,0.47619047619047616,0.2857142857142857
s006,20,20,0,0,773.212815000079,1.0,0.0
s008,29,28,1,0,799.5661300001302,0.9655172413793104,0.0
s010,21,21,0,0,705.6511499999942,1.0,0.0
s005,73,30,43,11,975.4271479998806,0.410958904109589,0.1506849315068493
s003,31,13,18,11,915.6726260000596,0.41935483870967744,0.3548387096774194
s007,23,20,3,0,804.4412659999125,0.8695652173913043,0.0
s004,78,10,68,6,1120.0043989999813,0.1282051282051282,0.07692307692307693
s013,79,65,14,35,896.5008239999861,0.8227848101265823,0.4430379746835443
s009,29,28,1,0,802.8968869998607,0.9655172413793104,0.0
s011,24,14,10,9,915.7707659999232,0.5833333333333334,0.375
s001,57,57,0,0,717.5509670000793,1.0,0.0
s000,41,20,21,9,884.9939790000008,0.4878048780487805,0.21951219512195122
s014,27,7,20,5,959.8362389999693,0.25925925925925924,0.18518518518518517
