session_id,lookups,hits,misses,shared_hits,p99_max,hit_rate,shared_hit_rate
s012,29,9,20,7,8347.527614,0.3103448275862069,0.2413793103448276
s002,21,11,10,7,3401.215919000151,0.5238095238095238,0.3333333333333333
s006,20,19,1,0,1092.2590909999599,0.95,0.0
s008,29,29,0,0,764.107494999962,1.0,0.0
s010,21,21,0,0,795.1671910000186,1.0,0.0
s005,73,49,24,24,1091.5263770000365,0.6712328767123288,0.3287671232876712
s003,31,12,19,9,880.2645030000349,0.3870967741935484,0.2903225806451613
s007,23,23,0,0,752.4691429998711,1.0,0.0
s004,78,17,61,8,1007.0221450000645,0.21794871794871795,0.10256410256410256
s013,79,69,10,37,947.7228109999487,0.8734177215189873,0.46835443037974683
s009,29,28,1,0,815.679451999813,0.9655172413793104,0.0
s011,24,14,10,9,946.5433750001466,0.5833333333333334,0.375
s001,57,57,0,0,734.3038679998699,1.0,0.0
s000,41,20,21,8,956.7530840001837,0.4878048780487805,0.1951219512195122
s014,27,23,4,17,863.8416339999822,0.8518518518518519,0.6296296296296297
