session_id,lookups,hits,misses,shared_hits,p99_max,hit_rate,shared_hit_rate
s012,29,13,16,9,5418.727206000085,0.4482758620689655,0.3103448275862069
s002,21,15,6,7,867.1419830000104,0.7142857142857143,0.3333333333333333
s008,29,29,0,0,778.4279150000657,1.0,0.0
s006,20,20,0,0,749.1711350000969,1.0,0.0
s013,79,50,29,18,971.9735199998922,0.6329113924050633,0.22784810126582278
s010,21,21,0,0,755.3301750001538,1.0,0.0
s000,41,24,17,9,924.3664390000959,0.5853658536585366,0.21951219512195122
s011,24,11,13,2,974.7887910000372,0.4583333333333333,0.08333333333333333
s005,73,44,29,11,1007.1045820000109,0.6027397260273972,0.1506849315068493
s003,31,12,19,7,1005.575897999961,0.3870967741935484,0.22580645161290322
s004,78,36,42,13,1029.14428400004,0.46153846153846156,0.16666666666666666
s014,27,19,8,14,838.20185400009,0.7037037037037037,0.5185185185185185
s007,23,23,0,0,770.3681210000468,1.0,0.0
s009,29,29,0,0,755.0238970000009,1.0,0.0
s001,57,54,3,0,817.1583029998146,0.9473684210526315,0.0
