session_id,lookups,hits,misses,shared_hits,p99_max,hit_rate,shared_hit_rate
s012,29,14,15,10,5395.350547999897,0.4827586206896552,0.3448275862068966
s002,21,15,6,7,918.7966029999188,0.7142857142857143,0.3333333333333333
s008,29,29,0,0,764.6066100001008,1.0,0.0
s006,20,20,0,0,745.8190499999091,1.0,0.0
s013,79,53,26,19,1856.5246830000888,0.6708860759493671,0.24050632911392406
s000,41,23,18,7,959.5196640000268,0.5609756097560976,0.17073170731707318
s010,21,21,0,0,752.219827999852,1.0,0.0
s011,24,14,10,5,928.5108379999656,0.5833333333333334,0.20833333333333334
s005,73,35,38,2,1021.8052220000118,0.4794520547945205,0.0273972602739726
s003,31,6,25,1,1065.4890680000335,0.1935483870967742,0.03225806451612903
s004,78,30,48,6,1020.5622389999007,0.38461538461538464,0.07692307692307693
s014,27,11,16,5,891.0820930000227,0.4074074074074074,0.18518518518518517
s007,23,23,0,0,731.8734969999241,1.0,0.0
s009,29,29,0,0,759.0494080000099,1.0,0.0
s001,57,57,0,0,762.9147020002165,1.0,0.0
