window_idx,t_start,t_end,lookups,hits,misses,hit_rate,shared_hits,unique_hits,shared_hit_rate,unique_hit_rate,p50_latency_ms,p99_latency_ms,goodput,mean_in_flight,max_in_flight
0,0.0,30.0,4,0,4,0.000000,0,0,0.000000,0.000000,5352.21,5367.49,0.000000,3.00,4
1,30.0,60.0,5,5,0,1.000000,3,2,1.000000,1.000000,749.32,778.22,1.000000,3.80,4
2,60.0,90.0,11,11,0,1.000000,2,9,1.000000,1.000000,658.88,764.52,1.000000,3.36,4
3,90.0,120.0,65,35,30,0.538462,6,29,0.166667,0.491525,769.40,1661.52,1.000000,3.74,4
4,120.0,150.0,59,48,11,0.813559,10,38,0.476190,0.775510,735.23,900.19,1.000000,3.56,4
5,150.0,180.0,117,59,58,0.504274,13,46,0.183099,0.442308,796.01,1053.20,1.000000,3.68,4
6,180.0,210.0,75,53,22,0.706667,1,52,0.043478,0.702703,719.69,1029.20,1.000000,3.53,4
7,210.0,240.0,90,58,32,0.644444,7,51,0.179487,0.614458,763.24,979.67,1.000000,3.66,4
8,240.0,270.0,53,27,26,0.509434,4,23,0.133333,0.469388,794.48,958.90,1.000000,3.92,4
9,270.0,300.0,103,68,35,0.660194,14,54,0.285714,0.606742,755.57,938.32,1.000000,3.71,4
