window_idx,t_start,t_end,lookups,hits,misses,hit_rate,shared_hits,unique_hits,shared_hit_rate,unique_hit_rate,p50_latency_ms,p99_latency_ms,goodput,mean_in_flight,max_in_flight
0,0.0,30.0,4,0,4,0.000000,0,0,0.000000,0.000000,5310.09,5325.50,0.000000,3.00,4
1,30.0,60.0,5,5,0,1.000000,3,2,1.000000,1.000000,737.07,764.46,1.000000,3.80,4
2,60.0,90.0,11,11,0,1.000000,2,9,1.000000,1.000000,660.58,771.84,1.000000,3.45,4
3,90.0,120.0,65,44,21,0.676923,9,35,0.300000,0.625000,706.48,1078.12,1.000000,3.80,4
4,120.0,150.0,59,49,10,0.830508,10,39,0.500000,0.795918,690.86,864.17,1.000000,3.68,4
5,150.0,180.0,117,71,46,0.606838,23,48,0.333333,0.510638,762.99,1223.03,1.000000,3.64,4
6,180.0,210.0,75,60,15,0.800000,6,54,0.285714,0.782609,690.05,993.97,1.000000,3.72,4
7,210.0,240.0,90,59,31,0.655556,8,51,0.205128,0.621951,704.56,1046.16,1.000000,3.78,4
8,240.0,270.0,53,32,21,0.603774,9,23,0.300000,0.522727,760.62,947.44,1.000000,3.77,4
9,270.0,300.0,103,74,29,0.718447,17,57,0.369565,0.662791,714.94,932.09,1.000000,3.83,4
