window_idx,t_start,t_end,lookups,hits,misses,hit_rate,shared_hits,unique_hits,shared_hit_rate,unique_hit_rate,p50_latency_ms,p99_latency_ms,goodput,mean_in_flight,max_in_flight
0,0.0,30.0,4,0,4,0.000000,0,0,0.000000,0.000000,55356.48,56852.90,0.000000,3.25,4
1,30.0,60.0,5,0,5,0.000000,0,0,0.000000,0.000000,8279.53,11482.24,0.200000,3.40,4
2,60.0,90.0,11,11,0,1.000000,2,9,1.000000,1.000000,704.66,718.86,1.000000,3.18,4
3,90.0,120.0,65,53,12,0.815385,21,32,0.636364,0.727273,713.31,864.51,1.000000,3.26,4
4,120.0,150.0,59,55,4,0.932203,18,37,0.818182,0.902439,705.00,839.79,1.000000,3.24,4
5,150.0,180.0,117,58,59,0.495726,22,36,0.271605,0.378947,805.89,968.46,1.000000,3.26,4
6,180.0,210.0,75,75,0,1.000000,21,54,1.000000,1.000000,709.56,790.57,1.000000,3.24,4
7,210.0,240.0,90,36,54,0.400000,11,25,0.169231,0.316456,822.71,943.89,1.000000,3.27,4
8,240.0,270.0,53,10,43,0.188679,1,9,0.022727,0.173077,870.32,1062.97,1.000000,3.21,4
9,270.0,300.0,103,25,78,0.242718,6,19,0.071429,0.195876,858.02,1124.91,1.000000,3.48,4
