window_idx,t_start,t_end,lookups,hits,misses,hit_rate,shared_hits,unique_hits,shared_hit_rate,unique_hit_rate,p50_latency_ms,p99_latency_ms,goodput,mean_in_flight,max_in_flight
0,0.0,30.0,4,0,4,0.000000,0,0,0.000000,0.000000,26509.69,27949.00,0.000000,3.25,4
1,30.0,60.0,5,0,5,0.000000,0,0,0.000000,0.000000,7284.32,10556.84,0.200000,3.40,4
2,60.0,90.0,11,11,0,1.000000,2,9,1.000000,1.000000,705.24,729.83,1.000000,3.18,4
3,90.0,120.0,65,52,13,0.800000,21,31,0.617647,0.704545,705.35,1138.25,1.000000,3.26,4
4,120.0,150.0,59,59,0,1.000000,20,39,1.000000,1.000000,714.43,788.26,1.000000,3.24,4
5,150.0,180.0,117,39,78,0.333333,15,24,0.161290,0.235294,823.15,981.47,1.000000,3.26,4
6,180.0,210.0,75,68,7,0.906667,16,52,0.695652,0.881356,683.79,917.86,1.000000,3.24,4
7,210.0,240.0,90,44,46,0.488889,13,31,0.220339,0.402597,799.42,885.12,1.000000,3.26,4
8,240.0,270.0,53,24,29,0.452830,8,16,0.216216,0.355556,803.17,972.18,1.000000,3.25,4
9,270.0,300.0,103,78,25,0.757282,31,47,0.553571,0.652778,760.40,904.11,1.000000,3.47,4
