window_idx,t_start,t_end,lookups,hits,misses,hit_rate,shared_hits,unique_hits,shared_hit_rate,unique_hit_rate,p50_latency_ms,p99_latency_ms,goodput,mean_in_flight,max_in_flight
0,0.0,30.0,4,0,4,0.000000,0,0,0.000000,0.000000,9500.55,9680.74,0.000000,2.75,4
1,30.0,60.0,5,3,2,0.600000,2,1,0.500000,0.333333,769.97,4530.34,0.800000,3.20,4
2,60.0,90.0,11,11,0,1.000000,2,9,1.000000,1.000000,683.55,758.49,1.000000,3.36,4
3,90.0,120.0,65,55,10,0.846154,21,34,0.677419,0.772727,725.22,869.40,1.000000,3.26,4
4,120.0,150.0,59,44,15,0.745763,10,34,0.400000,0.693878,761.55,892.23,1.000000,3.19,4
5,150.0,180.0,117,41,76,0.350427,16,25,0.173913,0.247525,841.17,1109.67,1.000000,3.28,4
6,180.0,210.0,75,52,23,0.693333,4,48,0.148148,0.676056,683.40,1083.21,1.000000,3.17,4
7,210.0,240.0,90,43,47,0.477778,8,35,0.145455,0.426829,801.80,1023.55,1.000000,3.23,4
8,240.0,270.0,53,31,22,0.584906,13,18,0.371429,0.450000,790.12,1119.21,1.000000,3.28,4
9,270.0,300.0,103,72,31,0.699029,23,49,0.425926,0.612500,759.96,1057.24,1.000000,3.26,4
