window_idx,t_start,t_end,lookups,hits,misses,hit_rate,shared_hits,unique_hits,shared_hit_rate,unique_hit_rate,p50_latency_ms,p99_latency_ms,goodput,mean_in_flight,max_in_flight
0,0.0,30.0,4,0,4,0.000000,0,0,0.000000,0.000000,8171.36,8347.48,0.000000,3.00,4
1,30.0,60.0,5,3,2,0.600000,2,1,0.500000,0.333333,788.63,3307.69,0.800000,3.80,4
2,60.0,90.0,11,11,0,1.000000,2,9,1.000000,1.000000,708.26,795.07,1.000000,3.55,4
3,90.0,120.0,65,59,6,0.907692,26,33,0.812500,0.846154,714.90,1091.79,1.000000,3.38,4
4,120.0,150.0,59,52,7,0.881356,15,37,0.681818,0.840909,704.03,915.19,1.000000,3.32,4
5,150.0,180.0,117,58,59,0.495726,22,36,0.271605,0.378947,800.10,984.74,1.000000,3.43,4
6,180.0,210.0,75,59,16,0.786667,10,49,0.384615,0.753846,691.87,916.03,1.000000,3.36,4
7,210.0,240.0,90,56,34,0.622222,13,43,0.276596,0.558442,744.63,931.94,1.000000,3.32,4
8,240.0,270.0,53,27,26,0.509434,11,16,0.297297,0.380952,796.98,974.90,1.000000,3.36,4
9,270.0,300.0,103,76,27,0.737864,25,51,0.480769,0.653846,735.63,980.02,1.000000,3.33,4
