window_idx,t_start,t_end,lookups,hits,misses,hit_rate,shared_hits,unique_hits,shared_hit_rate,unique_hit_rate,p50_latency_ms,p99_latency_ms,goodput,mean_in_flight,max_in_flight
0,0.0,30.0,4,0,4,0.000000,0,0,0.000000,0.000000,5403.31,5418.68,0.000000,3.00,4
1,30.0,60.0,5,5,0,1.000000,3,2,1.000000,1.000000,744.86,781.25,1.000000,4.00,4
2,60.0,90.0,11,11,0,1.000000,2,9,1.000000,1.000000,659.60,755.23,1.000000,3.55,4
3,90.0,120.0,65,53,12,0.815385,18,35,0.600000,0.744681,717.17,923.92,1.000000,3.75,4
4,120.0,150.0,59,51,8,0.864407,12,39,0.600000,0.829787,690.56,886.52,1.000000,3.71,4
5,150.0,180.0,117,65,52,0.555556,21,44,0.287671,0.458333,778.21,1006.86,1.000000,3.79,4
6,180.0,210.0,75,57,18,0.760000,3,54,0.142857,0.750000,694.37,906.94,1.000000,3.51,4
7,210.0,240.0,90,55,35,0.611111,4,51,0.102564,0.593023,741.02,972.28,1.000000,3.41,4
8,240.0,270.0,53,28,25,0.528302,5,23,0.166667,0.479167,777.50,1028.36,1.000000,3.57,4
9,270.0,300.0,103,75,28,0.728155,22,53,0.440000,0.654321,750.65,883.87,1.000000,3.52,4
