window_idx,t_start,t_end,lookups,hits,misses,hit_rate,shared_hits,unique_hits,shared_hit_rate,unique_hit_rate,p50_latency_ms,p99_latency_ms,goodput,mean_in_flight,max_in_flight
0,0.0,30.0,4,0,4,0.000000,0,0,0.000000,0.000000,5379.86,5395.31,0.000000,3.00,4
1,30.0,60.0,5,5,0,1.000000,3,2,1.000000,1.000000,753.12,784.87,1.000000,4.00,4
2,60.0,90.0,11,11,0,1.000000,2,9,1.000000,1.000000,660.19,760.54,1.000000,3.27,4
3,90.0,120.0,65,39,26,0.600000,4,35,0.133333,0.573770,725.04,974.23,1.000000,3.74,4
4,120.0,150.0,59,49,10,0.830508,10,39,0.500000,0.795918,713.99,870.83,1.000000,3.73,4
5,150.0,180.0,117,62,55,0.529915,14,48,0.202899,0.466019,785.04,1851.43,1.000000,3.85,4
6,180.0,210.0,75,55,20,0.733333,1,54,0.047619,0.729730,696.39,970.24,1.000000,3.95,4
7,210.0,240.0,90,54,36,0.600000,3,51,0.076923,0.586207,700.57,942.28,1.000000,3.82,4
8,240.0,270.0,53,30,23,0.566038,7,23,0.233333,0.500000,791.28,937.30,1.000000,3.72,4
9,270.0,300.0,103,75,28,0.728155,18,57,0.391304,0.670588,688.50,928.48,1.000000,3.70,4
